A,4914238.77,1403617.23,104.97,,h-top,HSIG:0.014,VSIG:0.024,STATUS:FIXED,SATS:12,AGE:0.0,PDOP:1.949,HDOP:0.926,VDOP:1.715,TDOP:1.175,GDOP:2.276,NSIG:0.012,ESIG:0.008
B,4914240.54,1403616.43,104.81,,h-top,HSIG:0.013,VSIG:0.021,STATUS:FIXED,SATS:13,AGE:0.0,PDOP:1.773,HDOP:0.799,VDOP:1.583,TDOP:1.052,GDOP:2.062,NSIG:0.010,ESIG:0.007
B1,4914238.88,1403615.03,105.00,,h-top,HSIG:0.013,VSIG:0.022,STATUS:FIXED,SATS:12,AGE:0.0,PDOP:2.223,HDOP:0.940,VDOP:2.015,TDOP:1.400,GDOP:2.627,NSIG:0.011,ESIG:0.007
B2,4914238.83,1403614.99,104.84,,HSIG:0.017,VSIG:0.025,STATUS:FIXED,SATS:13,AGE:0.0,PDOP:1.773,HDOP:0.895,VDOP:1.531,TDOP:1.036,GDOP:2.054,NSIG:0.015,ESIG:0.008
B3,4914240.53,1403618.57,104.84,,h-top,HSIG:0.017,VSIG:0.025,STATUS:FIXED,SATS:13,AGE:0.0,PDOP:1.773,HDOP:0.895,VDOP:1.531,TDOP:1.036,GDOP:2.054,NSIG:0.015,ESIG:0.008
B4,4914240.53,1403618.57,104.84,LEFT,HSIG:0.017,VSIG:0.025,STATUS:FIXED,SATS:13,AGE:0.0,PDOP:1.773,HDOP:0.895,VDOP:1.531,TDOP:1.036,GDOP:2.054,NSIG:0.015,ESIG:0.008
